"","pain-céréales","viandes","poissons-fruits de mer","lait-fromages-oeufs","huiles-graisses","fruits","légumes","sucre-produits sucrés","café-thé-cacao","eaux-boissons-jus","boissons alcoolisées","restauration","tabac","habillement-articles chaussants","logement-eau-gaz-électricité","ameublement-équipement ménager","santé","transports","communications","loisirs-culture","enseignement"
"Moins de 25 ans","545","405","64","297","34","84","177","139","39","137","188","1185","518","1618","5855","1239","415","3474","1042","1715","354"
"De 25 à 34 ans ","741","734","153","522","56","156","297","230","78","204","233","1663","463","2690","5693","2000","805","4750","1214","2452","76"
"De 35 à 44 ans ","1005","1079","231","691","88","223","410","319","110","248","322","1867","502","2950","4681","2309","987","5551","1134","2872","272"
"De 45 à 54 ans ","944","1199","291","662","96","279","430","297","118","241","487","1761","436","2668","4526","2243","1054","5505","1257","2985","456"
"De 55 à 64 ans ","769","1167","325","613","102","305","443","253","109","209","481","1102","249","2080","3982","2187","1155","4818","961","2775","112"
"De 65 à 74 ans ","668","1061","286","525","111","315","410","219","90","161","450","608","85","1234","3630","1697","981","2845","650","2131","11"
"75 ans et plus ","562","912","251","422","90","294","336","175","88","118","301","531","57","716","3493","1418","1015","1292","513","1311","6"
"D1","581","687","132","382","67","169","272","171","62","148","225","532","299","1272","4072","875","486","1723","727","1019","118"
"D2","665","770","175","466","78","192","291","202","68","162","199","579","350","1256","4441","1051","537","2089","796","1279","134"
"D3","713","926","190","515","90","213","337","210","81","174","291","868","347","1517","4363","1188","959","3067","806","1469","138"
"D4","763","947","210","540","87","219","338","241","90","185","277","879","393","1638","4355","1618","879","3659","895","1803","136"
"D5","795","1040","223","556","89","237","367","243","91","197","366","1037","373","1867","4296","1677","865","3712","994","2076","125"
"D6","823","988","234","591","85","237","358","247","97","208","367","1201","329","2005","4270","1806","892","4651","966","2219","169"
"D7","887","1107","265","642","95","263","407","286","115","229","397","1444","349","2422","4366","2305","1028","4932","1132","2679","247"
"D8","913","1151","305","663","98","283","443","282","119","234","418","1736","315","2613","4501","2296","1086","5411","1147","3160","207"
"D9","892","1198","339","676","94","340","474","303","117","231","498","2155","294","2897","4466","2734","1306","6148","1199","3926","236"
"D10","913","1342","427","713","103","386","549","329","142","236","720","2768","232","3837","5147","4312","1776","7458","1230","4968","377"
